AuthorID,Author,Date,Content,Attachments,Reactions
"827362797792788520","hddamico#7928","2021-11-22","today and just few hours left","",""
"827362797792788520","hddamico#7928","2021-11-22","with that a 24hrs auction will be triggered","",""
"827362797792788520","hddamico#7928","2021-11-22","and after that, it is over.","","🥳 (4)"
"833922506247110656","lightchronicler#4067","2021-11-22","787 ETH! Amazing","",""
"855092404147322910","RobinFriend#7507","2021-11-22","Last nights space made a real difference ✨","","emoji1 (2),☀️ (1)"
"827362797792788520","hddamico#7928","2021-11-22","🙌🏻📸","",""
"827362797792788520","hddamico#7928","2021-11-22","we need an official emoji 👀","","party_blob (3)"
"819708932876140575","shanelavalette#2830","2021-11-22","gm RAW ☀️ we have much to celebrate today!","",""
"827362797792788520","hddamico#7928","2021-11-22","that’s for sure","",""
"809382179468476456","mdr#8647","2021-11-22","gm:yessss_emoji:","",""
"827362797792788520","hddamico#7928","2021-11-22","we need a decent PR coverage on this imo","",""
"809382179468476456","mdr#8647","2021-11-22","is there going to be a spaces ?","",""
"827362797792788520","hddamico#7928","2021-11-22","top 10 photo sale","",""
"827362797792788520","hddamico#7928","2021-11-22","DAO formation","",""
"827362797792788520","hddamico#7928","2021-11-22","founding artists","",""
"827362797792788520","hddamico#7928","2021-11-22","Justin","",""
"827362797792788520","hddamico#7928","2021-11-22","PB","",""
"827362797792788520","hddamico#7928","2021-11-22","much to talk","",""
"833922506247110656","lightchronicler#4067","2021-11-22","PB? 🤔","",""
"833922506247110656","lightchronicler#4067","2021-11-22","Party Bid. Haha GM y’all.","",""
"827362797792788520","hddamico#7928","2021-11-22","hahaha yeap","","😂 (2)"
"819708932876140575","shanelavalette#2830","2021-11-22","PB&J 🙂","",""
"819708932876140575","shanelavalette#2830","2021-11-22","791 ETH, btw. So whatever it reaches a little before 9am will become the new reserve, to kick off the auction?","",""
"833922506247110656","lightchronicler#4067","2021-11-22","Peanut Butter & Jelly?","",""
"819708932876140575","shanelavalette#2830","2021-11-22","Party Bid & @justinaversano.eth  🤣","","😂 (3)"
"819708932876140575","shanelavalette#2830","2021-11-22","Do you think we could set the reserve at 800 and push to get there with the party bid in order to kick things off? Nice round number, and we're very close, so imagine with a final push from everyone we can certainly do that?","",""
"819708932876140575","shanelavalette#2830","2021-11-22","Or it will kick off at whatever the amount it is at when the time's up?","",""
"827362797792788520","hddamico#7928","2021-11-22","we need to change it and give some ours","",""
"827362797792788520","hddamico#7928","2021-11-22","probably lowering it to 800 or 825 and give and extra hour","",""
"827362797792788520","hddamico#7928","2021-11-22","after that a 24hrs auction will start","",""
"827362797792788520","hddamico#7928","2021-11-22","tomorrow at this time we should be almost set","",""
